,Unnamed: 0,Unnamed: 0.1,url,schedule,venue,teamA,teamB,teamA_score,teamB_score,winner_Team,winner_score,venue_location,winner_location
24,24,24,https://www.skysports.com/football/brentford-vs-aston-villa/446489,"2:00pm, Sunday 2nd January 2022.",Brentford Community Stadium,Brentford,A Villa,2,1,Brentford,2,"166 Lionel Road North, Brentford, London Borough of Hounslow, England, UK","166 Lionel Road North, Brentford, London Borough of Hounslow, England, UK"
25,25,25,https://www.skysports.com/football/everton-vs-brighton-and-hove-albion/446492,"2:00pm, Sunday 2nd January 2022.",Goodison Park,Everton,Brighton,2,3,Brighton,3,"Goodison Road
Walton, Liverpool, England","Falmer, Brighton, East Sussex, England"
26,26,26,https://www.skysports.com/football/leeds-united-vs-burnley/446493,"2:00pm, Sunday 2nd January 2022.",Elland Road,Leeds,Burnley,3,1,Leeds,3,"Elland Road, Beeston, Leeds, England LS11 0ES","Elland Road, Beeston, Leeds, England LS11 0ES"
27,27,27,https://www.skysports.com/football/chelsea-vs-liverpool/446490,"4:30pm, Sunday 2nd January 2022.",Stamford Bridge,Chelsea,Liverpool,2,2,Liverpool,2,"Fulham,
London, SW6
England","Anfield, Liverpool, Merseyside, England"
28,28,28,https://www.skysports.com/football/arsenal-vs-manchester-city/446488,"12:30pm, Saturday 1st January 2022.",Emirates Stadium,Arsenal,Man City,1,2,Man City,2,"Highbury House,
75 Drayton Park,
London, N5 1BU
England[1]","Etihad Campus
Manchester
M11 3FF"
29,29,29,https://www.skysports.com/football/watford-vs-tottenham-hotspur/446497,"3:00pm, Saturday 1st January 2022.",Vicarage Road,Watford,Tottenham,0,1,Tottenham,1,"Vicarage Road
Watford
WD18 0ER","Tottenham,
London, N17"
30,30,30,https://www.skysports.com/football/crystal-palace-vs-west-ham-united/446491,"5:30pm, Saturday 1st January 2022.",Selhurst Park,C Palace,West Ham,2,3,West Ham,3,"Selhurst
London, SE25
England","Queen Elizabeth Olympic Park, Stratford
London, E20"
31,31,31,https://www.skysports.com/football/manchester-united-vs-burnley/446485,"8:15pm, Thursday 30th December 2021.",Old Trafford,Man Utd,Burnley,3,1,Man Utd,3,"Sir Matt Busby Way
Old Trafford
Trafford
Greater Manchester
England","Sir Matt Busby Way
Old Trafford
Trafford
Greater Manchester
England"
32,32,32,https://www.skysports.com/football/chelsea-vs-brighton-and-hove-albion/446480,"7:30pm, Wednesday 29th December 2021.",Stamford Bridge,Chelsea,Brighton,1,1,Brighton,1,"Fulham,
London, SW6
England","Falmer, Brighton, East Sussex, England"
33,33,33,https://www.skysports.com/football/brentford-vs-manchester-city/446479,"8:15pm, Wednesday 29th December 2021.",Brentford Community Stadium,Brentford,Man City,0,1,Man City,1,"166 Lionel Road North, Brentford, London Borough of Hounslow, England, UK","Etihad Campus
Manchester
M11 3FF"
34,34,34,https://www.skysports.com/football/crystal-palace-vs-norwich-city/446481,"3:00pm, Tuesday 28th December 2021.",Selhurst Park,C Palace,Norwich,3,0,C Palace,3,"Selhurst
London, SE25
England","Selhurst
London, SE25
England"
35,35,35,https://www.skysports.com/football/southampton-vs-tottenham-hotspur/446486,"3:00pm, Tuesday 28th December 2021.",St. Mary's Stadium,So'ton,Tottenham,1,1,Tottenham,1,"Britannia Rd, Southampton, England","Tottenham,
London, N17"
36,36,36,https://www.skysports.com/football/watford-vs-west-ham-united/446487,"3:00pm, Tuesday 28th December 2021.",Vicarage Road,Watford,West Ham,1,4,West Ham,4,"Vicarage Road
Watford
WD18 0ER","Queen Elizabeth Olympic Park, Stratford
London, E20"
37,37,37,https://www.skysports.com/football/leicester-city-vs-liverpool/446484,"8:00pm, Tuesday 28th December 2021.",The King Power Stadium,Leicester,Liverpool,1,0,Leicester,1,"Filbert Way
Leicester
LE2 7FL",
38,38,38,https://www.skysports.com/football/newcastle-united-vs-manchester-united/446473,"8:00pm, Monday 27th December 2021.","St James' Park, Newcastle",Newcastle,Man Utd,1,1,Man Utd,1,Newcastle upon Tyne NE1 4ST,"Sir Matt Busby Way
Old Trafford
Trafford
Greater Manchester
England"
39,39,39,https://www.skysports.com/football/manchester-city-vs-leicester-city/446472,"3:00pm, Sunday 26th December 2021.",Etihad Stadium,Man City,Leicester,6,3,Man City,6,"Etihad Campus
Manchester
M11 3FF","Etihad Campus
Manchester
M11 3FF"
40,40,40,https://www.skysports.com/football/norwich-city-vs-arsenal/446474,"3:00pm, Sunday 26th December 2021.",Carrow Road,Norwich,Arsenal,0,5,Arsenal,5,"Norwich, Norfolk, England","Highbury House,
75 Drayton Park,
London, N5 1BU
England[1]"
41,41,41,https://www.skysports.com/football/tottenham-hotspur-vs-crystal-palace/446475,"3:00pm, Sunday 26th December 2021.",Tottenham Hotspur Stadium,Tottenham,C Palace,3,0,Tottenham,3,"Tottenham,
London, N17","Tottenham,
London, N17"
42,42,42,https://www.skysports.com/football/west-ham-united-vs-southampton/446476,"3:00pm, Sunday 26th December 2021.",London Stadium,West Ham,So'ton,2,3,So'ton,3,"Queen Elizabeth Olympic Park, Stratford
London, E20","Britannia Rd, Southampton, England"
43,43,43,https://www.skysports.com/football/aston-villa-vs-chelsea/446468,"5:30pm, Sunday 26th December 2021.",Villa Park,A Villa,Chelsea,1,3,Chelsea,3,"Trinity Road, Birmingham B6 6HE","Fulham,
London, SW6
England"
44,44,44,https://www.skysports.com/football/brighton-and-hove-albion-vs-brentford/446469,"8:00pm, Sunday 26th December 2021.",Amex Stadium,Brighton,Brentford,2,0,Brighton,2,"Falmer, Brighton, East Sussex, England","Falmer, Brighton, East Sussex, England"
45,45,45,https://www.skysports.com/football/newcastle-united-vs-manchester-city/446462,"2:00pm, Sunday 19th December 2021.","St James' Park, Newcastle",Newcastle,Man City,0,4,Man City,4,Newcastle upon Tyne NE1 4ST,"Etihad Campus
Manchester
M11 3FF"
46,46,46,https://www.skysports.com/football/wolverhampton-wanderers-vs-chelsea/446467,"2:00pm, Sunday 19th December 2021.",Molineux,Wolves,Chelsea,0,0,Chelsea,0,"Waterloo Road, Wolverhampton","Fulham,
London, SW6
England"
47,47,47,https://www.skysports.com/football/tottenham-hotspur-vs-liverpool/446464,"4:30pm, Sunday 19th December 2021.",Tottenham Hotspur Stadium,Tottenham,Liverpool,2,2,Liverpool,2,"Tottenham,
London, N17","Anfield, Liverpool, Merseyside, England"
48,48,48,https://www.skysports.com/football/leeds-united-vs-arsenal/446460,"5:30pm, Saturday 18th December 2021.",Elland Road,Leeds,Arsenal,1,4,Arsenal,4,"Elland Road, Beeston, Leeds, England LS11 0ES","Highbury House,
75 Drayton Park,
London, N5 1BU
England[1]"
49,49,49,https://www.skysports.com/football/chelsea-vs-everton/446455,"7:45pm, Thursday 16th December 2021.",Stamford Bridge,Chelsea,Everton,1,1,Everton,1,"Fulham,
London, SW6
England","Goodison Road
Walton, Liverpool, England"
50,50,50,https://www.skysports.com/football/liverpool-vs-newcastle-united/446456,"8:00pm, Thursday 16th December 2021.",Anfield,Liverpool,Newcastle,3,1,Liverpool,3,"Anfield, Liverpool, Merseyside, England","Anfield, Liverpool, Merseyside, England"
51,51,51,https://www.skysports.com/football/brighton-and-hove-albion-vs-wolverhampton-wanderers/446450,"7:30pm, Wednesday 15th December 2021.",Amex Stadium,Brighton,Wolves,0,1,Wolves,1,"Falmer, Brighton, East Sussex, England","Waterloo Road, Wolverhampton"
52,52,52,https://www.skysports.com/football/crystal-palace-vs-southampton/446452,"7:30pm, Wednesday 15th December 2021.",Selhurst Park,C Palace,So'ton,2,2,So'ton,2,"Selhurst
London, SE25
England","Britannia Rd, Southampton, England"
53,53,53,https://www.skysports.com/football/arsenal-vs-west-ham-united/446448,"8:00pm, Wednesday 15th December 2021.",Emirates Stadium,Arsenal,West Ham,2,0,Arsenal,2,"Highbury House,
75 Drayton Park,
London, N5 1BU
England[1]","Highbury House,
75 Drayton Park,
London, N5 1BU
England[1]"
54,54,54,https://www.skysports.com/football/norwich-city-vs-aston-villa/446454,"7:45pm, Tuesday 14th December 2021.",Carrow Road,Norwich,A Villa,0,2,A Villa,2,"Norwich, Norfolk, England","Trinity Road, Birmingham B6 6HE"
55,55,55,https://www.skysports.com/football/manchester-city-vs-leeds-united/446457,"8:00pm, Tuesday 14th December 2021.",Etihad Stadium,Man City,Leeds,7,0,Man City,7,"Etihad Campus
Manchester
M11 3FF","Etihad Campus
Manchester
M11 3FF"
56,56,56,https://www.skysports.com/football/burnley-vs-west-ham-united/446441,"2:00pm, Sunday 12th December 2021.",Turf Moor,Burnley,West Ham,0,0,West Ham,0,"Burnley, Lancashire, England","Queen Elizabeth Olympic Park, Stratford
London, E20"
