,date,time,teamA,teamB,teamA_score,teamB_score,winner_Team,winner_score,venue_location,venue,venue_city,venue_state,venue_country,winner_location
0,17/04/2021,01:00,Houston Dynamo,San Jose Earthquakes,2.0,1.0,Houston Dynamo,2.0,"PNC Stadium, Houston, TX (USA)",PNC Stadium, Houston, TX ,USA,PNC Stadium
1,17/04/2021,02:30,Seattle Sounders,Minnesota United FC,4.0,0.0,Seattle Sounders,4.0,"Lumen Field, Seattle, WA (USA)",Lumen Field, Seattle, WA ,USA,Lumen Field
2,17/04/2021,19:00,CF Montréal,Toronto FC,4.0,2.0,CF Montréal,4.0,"DRV PNK Stadium, Fort Lauderdale, FL (USA)",DRV PNK Stadium, Fort Lauderdale, FL ,USA,Stade Saputo
3,17/04/2021,20:00,Orlando City,Atlanta United FC,0.0,0.0,,,"Exploria Stadium, Orlando, FL (USA)",Exploria Stadium, Orlando, FL ,USA,
4,17/04/2021,23:00,Los Angeles FC,Austin FC,2.0,0.0,Los Angeles FC,2.0,"Banc of California Stadium, Los Angeles, CA (USA)",Banc of California Stadium, Los Angeles, CA ,USA,Banc of California Stadium
5,18/04/2021,01:00,FC Dallas,Colorado Rapids,0.0,0.0,,,"Toyota Stadium, Frisco, TX (USA)",Toyota Stadium, Frisco, TX ,USA,
6,18/04/2021,01:00,D.C. United,New York City FC,2.0,1.0,D.C. United,2.0,"Audi Field, Washington, D.C. (USA)",Audi Field, Washington, D.C. ,USA,Audi Field
7,18/04/2021,01:00,New York RB,Sporting Kansas City,1.0,2.0,Sporting Kansas City,2.0,"Red Bull Arena, Harrison, NJ (USA)",Red Bull Arena, Harrison, NJ ,USA,Children's Mercy Park
8,18/04/2021,01:30,Nashville SC,FC Cincinnati,2.0,2.0,,,"Nissan Stadium, Nashville, TN (USA)",Nissan Stadium, Nashville, TN ,USA,
9,18/04/2021,01:30,Chicago Fire,New England Revolution,2.0,2.0,,,"Soldier Field, Chicago, IL (USA)",Soldier Field, Chicago, IL ,USA,
10,18/04/2021,20:00,Inter Miami CF,Los Angeles Galaxy,2.0,3.0,Los Angeles Galaxy,3.0,"DRV PNK Stadium, Fort Lauderdale, FL (USA)",DRV PNK Stadium, Fort Lauderdale, FL ,USA,Dignity Health Sports Park
11,18/04/2021,22:30,Columbus Crew,Philadelphia Union,0.0,0.0,,,"MAPFRE Stadium, Columbus, OH (USA)",MAPFRE Stadium, Columbus, OH ,USA,
12,19/04/2021,03:00,Vancouver Whitecaps,Portland Timbers,1.0,0.0,Vancouver Whitecaps,1.0,"Rio Tinto Stadium, Sandy, UT (USA)",Rio Tinto Stadium, Sandy, UT ,USA,BC Place
13,24/04/2021,00:30,Sporting Kansas City,Orlando City,1.0,1.0,,,"Children's Mercy Park, Kansas City, KS (USA)",Children's Mercy Park, Kansas City, KS ,USA,
14,24/04/2021,18:00,New York City FC,FC Cincinnati,5.0,0.0,New York City FC,5.0,"Yankee Stadium, New York City, NY (USA)",Yankee Stadium, New York City, NY ,USA,Yankee Stadium
15,24/04/2021,19:00,Nashville SC,CF Montréal,2.0,2.0,,,"Nissan Stadium, Nashville, TN (USA)",Nissan Stadium, Nashville, TN ,USA,
16,24/04/2021,20:00,Toronto FC,Vancouver Whitecaps,2.0,2.0,,,"Exploria Stadium, Orlando, FL (USA)",Exploria Stadium, Orlando, FL ,USA,
17,24/04/2021,20:30,San Jose Earthquakes,FC Dallas,3.0,1.0,San Jose Earthquakes,3.0,"Earthquakes Stadium, San Jose, CA (USA)",Earthquakes Stadium, San Jose, CA ,USA,Earthquakes Stadium
18,24/04/2021,23:00,Los Angeles FC,Seattle Sounders,1.0,1.0,,,"Banc of California Stadium, Los Angeles, CA (USA)",Banc of California Stadium, Los Angeles, CA ,USA,
19,25/04/2021,01:00,Atlanta United FC,Chicago Fire,3.0,1.0,Atlanta United FC,3.0,"Mercedes-Benz Stadium, Atlanta, GA (USA)",Mercedes-Benz Stadium, Atlanta, GA ,USA,Mercedes-Benz Stadium
20,25/04/2021,01:00,Minnesota United FC,Real Salt Lake,1.0,2.0,Real Salt Lake,2.0,"Allianz Field, Saint Paul, MN (USA)",Allianz Field, Saint Paul, MN ,USA,Rio Tinto Stadium
21,25/04/2021,01:00,New England Revolution,D.C. United,1.0,0.0,New England Revolution,1.0,"Gillette Stadium, Foxborough, MA (USA)",Gillette Stadium, Foxborough, MA ,USA,Gillette Stadium
22,25/04/2021,01:00,Philadelphia Union,Inter Miami CF,1.0,2.0,Inter Miami CF,2.0,"Subaru Park, Chester, PA (USA)",Subaru Park, Chester, PA ,USA,DRV PNK Stadium
