,date,time,teamA,teamB,teamA_score,teamB_score,winner_Team,winner_score,venue_location,venue,venue_city,venue_state,venue_country,winner_location
23,25/04/2021,02:00,Colorado Rapids,Austin FC,1.0,3.0,Austin FC,3.0,"Dick's Sporting Goods Park, Commerce City, CO (USA)",Dick's Sporting Goods Park, Commerce City, CO ,USA,Q2 Stadium
24,25/04/2021,03:30,Portland Timbers,Houston Dynamo,2.0,1.0,Portland Timbers,2.0,"Providence Park, Portland, OR (USA)",Providence Park, Portland, OR ,USA,Providence Park
25,25/04/2021,22:30,Los Angeles Galaxy,New York RB,3.0,2.0,Los Angeles Galaxy,3.0,"Dignity Health Sports Park, Carson, CA (USA)",Dignity Health Sports Park, Carson, CA ,USA,Dignity Health Sports Park
26,2. Round,2. Round,2. Round,2. Round,,,,,,,,,,
27,01/05/2021,18:00,New York RB,Chicago Fire,2.0,0.0,New York RB,2.0,"Red Bull Arena, Harrison, NJ (USA)",Red Bull Arena, Harrison, NJ ,USA,Red Bull Arena
28,01/05/2021,19:00,Real Salt Lake,Sporting Kansas City,3.0,1.0,Real Salt Lake,3.0,"Rio Tinto Stadium, Sandy, UT (USA)",Rio Tinto Stadium, Sandy, UT ,USA,Rio Tinto Stadium
29,01/05/2021,20:00,CF Montréal,Columbus Crew,0.0,0.0,,,"DRV PNK Stadium, Fort Lauderdale, FL (USA)",DRV PNK Stadium, Fort Lauderdale, FL ,USA,
30,01/05/2021,20:30,Houston Dynamo,Los Angeles FC,1.0,1.0,,,"PNC Stadium, Houston, TX (USA)",PNC Stadium, Houston, TX ,USA,
31,02/05/2021,00:00,New England Revolution,Atlanta United FC,2.0,1.0,New England Revolution,2.0,"Gillette Stadium, Foxborough, MA (USA)",Gillette Stadium, Foxborough, MA ,USA,Gillette Stadium
32,02/05/2021,00:30,Orlando City,FC Cincinnati,3.0,0.0,Orlando City,3.0,"Exploria Stadium, Orlando, FL (USA)",Exploria Stadium, Orlando, FL ,USA,Exploria Stadium
33,02/05/2021,00:30,Philadelphia Union,New York City FC,0.0,2.0,New York City FC,2.0,"Subaru Park, Chester, PA (USA)",Subaru Park, Chester, PA ,USA,Yankee Stadium
34,02/05/2021,01:00,FC Dallas,Portland Timbers,4.0,1.0,FC Dallas,4.0,"Toyota Stadium, Frisco, TX (USA)",Toyota Stadium, Frisco, TX ,USA,Toyota Stadium
35,02/05/2021,01:00,Minnesota United FC,Austin FC,0.0,1.0,Austin FC,1.0,"Allianz Field, Saint Paul, MN (USA)",Allianz Field, Saint Paul, MN ,USA,Q2 Stadium
36,02/05/2021,04:00,San Jose Earthquakes,D.C. United,4.0,1.0,San Jose Earthquakes,4.0,"Earthquakes Stadium, San Jose, CA (USA)",Earthquakes Stadium, San Jose, CA ,USA,Earthquakes Stadium
37,02/05/2021,18:00,Nashville SC,Inter Miami CF,0.0,0.0,,,"Nissan Stadium, Nashville, TN (USA)",Nissan Stadium, Nashville, TN ,USA,
38,03/05/2021,02:00,Seattle Sounders,Los Angeles Galaxy,3.0,0.0,Seattle Sounders,3.0,"Lumen Field, Seattle, WA (USA)",Lumen Field, Seattle, WA ,USA,Lumen Field
39,03/05/2021,03:00,Vancouver Whitecaps,Colorado Rapids,0.0,1.0,Colorado Rapids,1.0,"Rio Tinto Stadium, Sandy, UT (USA)",Rio Tinto Stadium, Sandy, UT ,USA,Dick's Sporting Goods Park
40,08/05/2021,02:30,Real Salt Lake,San Jose Earthquakes,1.0,2.0,San Jose Earthquakes,2.0,"Rio Tinto Stadium, Sandy, UT (USA)",Rio Tinto Stadium, Sandy, UT ,USA,Earthquakes Stadium
41,08/05/2021,18:00,Chicago Fire,Philadelphia Union,0.0,2.0,Philadelphia Union,2.0,"Soldier Field, Chicago, IL (USA)",Soldier Field, Chicago, IL ,USA,Subaru Park
42,08/05/2021,18:00,New York RB,Toronto FC,2.0,0.0,New York RB,2.0,"Red Bull Arena, Harrison, NJ (USA)",Red Bull Arena, Harrison, NJ ,USA,Red Bull Arena
43,08/05/2021,18:30,Columbus Crew,D.C. United,3.0,1.0,Columbus Crew,3.0,"MAPFRE Stadium, Columbus, OH (USA)",MAPFRE Stadium, Columbus, OH ,USA,Lower.com Field
44,08/05/2021,18:30,Nashville SC,New England Revolution,2.0,0.0,Nashville SC,2.0,"Nissan Stadium, Nashville, TN (USA)",Nissan Stadium, Nashville, TN ,USA,Fairgrounds Stadium
45,08/05/2021,20:00,Vancouver Whitecaps,CF Montréal,2.0,0.0,Vancouver Whitecaps,2.0,"Rio Tinto Stadium, Sandy, UT (USA)",Rio Tinto Stadium, Sandy, UT ,USA,BC Place
46,08/05/2021,20:30,FC Dallas,Houston Dynamo,1.0,1.0,,,"Toyota Stadium, Frisco, TX (USA)",Toyota Stadium, Frisco, TX ,USA,
47,08/05/2021,23:00,Orlando City,New York City FC,1.0,1.0,,,"Exploria Stadium, Orlando, FL (USA)",Exploria Stadium, Orlando, FL ,USA,
48,09/05/2021,01:00,Los Angeles Galaxy,Los Angeles FC,2.0,1.0,Los Angeles Galaxy,2.0,"Dignity Health Sports Park, Carson, CA (USA)",Dignity Health Sports Park, Carson, CA ,USA,Dignity Health Sports Park
49,09/05/2021,03:00,Colorado Rapids,Minnesota United FC,3.0,2.0,Colorado Rapids,3.0,"Dick's Sporting Goods Park, Commerce City, CO (USA)",Dick's Sporting Goods Park, Commerce City, CO ,USA,Dick's Sporting Goods Park
50,09/05/2021,18:00,Inter Miami CF,Atlanta United FC,1.0,1.0,,,"DRV PNK Stadium, Fort Lauderdale, FL (USA)",DRV PNK Stadium, Fort Lauderdale, FL ,USA,
51,09/05/2021,20:00,Portland Timbers,Seattle Sounders,1.0,2.0,Seattle Sounders,2.0,"Providence Park, Portland, OR (USA)",Providence Park, Portland, OR ,USA,Lumen Field
52,10/05/2021,00:30,Sporting Kansas City,Austin FC,2.0,1.0,Sporting Kansas City,2.0,"Children's Mercy Park, Kansas City, KS (USA)",Children's Mercy Park, Kansas City, KS ,USA,Children's Mercy Park
53,13/05/2021,00:00,Toronto FC,Columbus Crew,2.0,0.0,Toronto FC,2.0,"Exploria Stadium, Orlando, FL (USA)",Exploria Stadium, Orlando, FL ,USA,BMO Field
54,13/05/2021,00:30,Inter Miami CF,CF Montréal,0.0,2.0,CF Montréal,2.0,"DRV PNK Stadium, Fort Lauderdale, FL (USA)",DRV PNK Stadium, Fort Lauderdale, FL ,USA,Stade Saputo
55,13/05/2021,00:30,Philadelphia Union,New England Revolution,1.0,1.0,,,"Subaru Park, Chester, PA (USA)",Subaru Park, Chester, PA ,USA,
56,13/05/2021,01:30,Houston Dynamo,Sporting Kansas City,1.0,0.0,Houston Dynamo,1.0,"PNC Stadium, Houston, TX (USA)",PNC Stadium, Houston, TX ,USA,PNC Stadium
57,13/05/2021,02:00,Minnesota United FC,Vancouver Whitecaps,1.0,0.0,Minnesota United FC,1.0,"Allianz Field, Saint Paul, MN (USA)",Allianz Field, Saint Paul, MN ,USA,Allianz Field
58,13/05/2021,03:30,San Jose Earthquakes,Seattle Sounders,0.0,1.0,Seattle Sounders,1.0,"Earthquakes Stadium, San Jose, CA (USA)",Earthquakes Stadium, San Jose, CA ,USA,Lumen Field
59,14/05/2021,01:00,D.C. United,Chicago Fire,1.0,0.0,D.C. United,1.0,"Audi Field, Washington, D.C. (USA)",Audi Field, Washington, D.C. ,USA,Audi Field
60,15/05/2021,18:00,New York City FC,Toronto FC,1.0,1.0,,,"Yankee Stadium, New York City, NY (USA)",Yankee Stadium, New York City, NY ,USA,
61,15/05/2021,20:30,Los Angeles Galaxy,Austin FC,2.0,0.0,Los Angeles Galaxy,2.0,"Dignity Health Sports Park, Carson, CA (USA)",Dignity Health Sports Park, Carson, CA ,USA,Dignity Health Sports Park
62,16/05/2021,00:00,Atlanta United FC,CF Montréal,1.0,0.0,Atlanta United FC,1.0,"Mercedes-Benz Stadium, Atlanta, GA (USA)",Mercedes-Benz Stadium, Atlanta, GA ,USA,Mercedes-Benz Stadium
63,16/05/2021,00:30,Philadelphia Union,New York RB,1.0,0.0,Philadelphia Union,1.0,"Subaru Park, Chester, PA (USA)",Subaru Park, Chester, PA ,USA,Subaru Park
64,16/05/2021,01:00,Minnesota United FC,FC Dallas,1.0,0.0,Minnesota United FC,1.0,"Allianz Field, Saint Paul, MN (USA)",Allianz Field, Saint Paul, MN ,USA,Allianz Field
65,16/05/2021,02:00,Colorado Rapids,Houston Dynamo,3.0,1.0,Colorado Rapids,3.0,"Dick's Sporting Goods Park, Commerce City, CO (USA)",Dick's Sporting Goods Park, Commerce City, CO ,USA,Dick's Sporting Goods Park
66,16/05/2021,02:30,Real Salt Lake,Nashville SC,0.0,0.0,,,"Rio Tinto Stadium, Sandy, UT (USA)",Rio Tinto Stadium, Sandy, UT ,USA,
67,16/05/2021,03:00,San Jose Earthquakes,Portland Timbers,0.0,2.0,Portland Timbers,2.0,"Earthquakes Stadium, San Jose, CA (USA)",Earthquakes Stadium, San Jose, CA ,USA,Providence Park
68,16/05/2021,19:00,Sporting Kansas City,Vancouver Whitecaps,3.0,0.0,Sporting Kansas City,3.0,"Children's Mercy Park, Kansas City, KS (USA)",Children's Mercy Park, Kansas City, KS ,USA,Children's Mercy Park
69,16/05/2021,21:00,FC Cincinnati,Inter Miami CF,2.0,3.0,Inter Miami CF,3.0,"TQL Stadium, Cincinnati, OH (USA)",TQL Stadium, Cincinnati, OH ,USA,DRV PNK Stadium
70,16/05/2021,23:00,New England Revolution,Columbus Crew,1.0,0.0,New England Revolution,1.0,"Gillette Stadium, Foxborough, MA (USA)",Gillette Stadium, Foxborough, MA ,USA,Gillette Stadium
71,17/05/2021,01:00,D.C. United,Orlando City,0.0,1.0,Orlando City,1.0,"Audi Field, Washington, D.C. (USA)",Audi Field, Washington, D.C. ,USA,Exploria Stadium
72,17/05/2021,02:30,Seattle Sounders,Los Angeles FC,2.0,0.0,Seattle Sounders,2.0,"Lumen Field, Seattle, WA (USA)",Lumen Field, Seattle, WA ,USA,Lumen Field
73,22/05/2021,18:00,CF Montréal,FC Cincinnati,1.0,2.0,FC Cincinnati,2.0,"DRV PNK Stadium, Fort Lauderdale, FL (USA)",DRV PNK Stadium, Fort Lauderdale, FL ,USA,TQL Stadium
74,22/05/2021,20:30,Portland Timbers,Los Angeles Galaxy,3.0,0.0,Portland Timbers,3.0,"Providence Park, Portland, OR (USA)",Providence Park, Portland, OR ,USA,Providence Park
75,22/05/2021,23:00,Chicago Fire,Inter Miami CF,1.0,0.0,Chicago Fire,1.0,"Soldier Field, Chicago, IL (USA)",Soldier Field, Chicago, IL ,USA,Soldier Field
76,23/05/2021,00:00,Orlando City,Toronto FC,1.0,0.0,Orlando City,1.0,"Exploria Stadium, Orlando, FL (USA)",Exploria Stadium, Orlando, FL ,USA,Exploria Stadium
77,23/05/2021,00:30,New York City FC,Columbus Crew,1.0,2.0,Columbus Crew,2.0,"Red Bull Arena, Harrison, NJ (USA)",Red Bull Arena, Harrison, NJ ,USA,Lower.com Field
78,23/05/2021,01:00,FC Dallas,Real Salt Lake,2.0,2.0,,,"Toyota Stadium, Frisco, TX (USA)",Toyota Stadium, Frisco, TX ,USA,
79,23/05/2021,01:00,New England Revolution,New York RB,3.0,1.0,New England Revolution,3.0,"Gillette Stadium, Foxborough, MA (USA)",Gillette Stadium, Foxborough, MA ,USA,Gillette Stadium
80,23/05/2021,02:00,Houston Dynamo,Vancouver Whitecaps,2.0,1.0,Houston Dynamo,2.0,"PNC Stadium, Houston, TX (USA)",PNC Stadium, Houston, TX ,USA,PNC Stadium
81,23/05/2021,03:00,San Jose Earthquakes,Sporting Kansas City,1.0,3.0,Sporting Kansas City,3.0,"Earthquakes Stadium, San Jose, CA (USA)",Earthquakes Stadium, San Jose, CA ,USA,Children's Mercy Park
82,23/05/2021,03:30,Los Angeles FC,Colorado Rapids,2.0,1.0,Los Angeles FC,2.0,"Banc of California Stadium, Los Angeles, CA (USA)",Banc of California Stadium, Los Angeles, CA ,USA,Banc of California Stadium
83,23/05/2021,21:30,Seattle Sounders,Atlanta United FC,1.0,1.0,,,"Lumen Field, Seattle, WA (USA)",Lumen Field, Seattle, WA ,USA,
84,24/05/2021,00:15,D.C. United,Philadelphia Union,0.0,1.0,Philadelphia Union,1.0,"Audi Field, Washington, D.C. (USA)",Audi Field, Washington, D.C. ,USA,Subaru Park
85,24/05/2021,02:00,Nashville SC,Austin FC,1.0,0.0,Nashville SC,1.0,"Nissan Stadium, Nashville, TN (USA)",Nissan Stadium, Nashville, TN ,USA,Fairgrounds Stadium
86,29/05/2021,18:00,Chicago Fire,CF Montréal,0.0,1.0,CF Montréal,1.0,"Soldier Field, Chicago, IL (USA)",Soldier Field, Chicago, IL ,USA,Stade Saputo
87,29/05/2021,18:00,New York RB,Orlando City,2.0,1.0,New York RB,2.0,"Red Bull Arena, Harrison, NJ (USA)",Red Bull Arena, Harrison, NJ ,USA,Red Bull Arena
88,29/05/2021,20:00,Columbus Crew,Toronto FC,2.0,1.0,Columbus Crew,2.0,"MAPFRE Stadium, Columbus, OH (USA)",MAPFRE Stadium, Columbus, OH ,USA,Lower.com Field
89,29/05/2021,20:00,FC Cincinnati,New England Revolution,0.0,1.0,New England Revolution,1.0,"TQL Stadium, Cincinnati, OH (USA)",TQL Stadium, Cincinnati, OH ,USA,Gillette Stadium
90,29/05/2021,20:30,Atlanta United FC,Nashville SC,2.0,2.0,,,"Mercedes-Benz Stadium, Atlanta, GA (USA)",Mercedes-Benz Stadium, Atlanta, GA ,USA,
91,29/05/2021,22:00,Los Angeles FC,New York City FC,1.0,2.0,New York City FC,2.0,"Banc of California Stadium, Los Angeles, CA (USA)",Banc of California Stadium, Los Angeles, CA ,USA,Yankee Stadium
92,30/05/2021,00:00,Los Angeles Galaxy,San Jose Earthquakes,1.0,0.0,Los Angeles Galaxy,1.0,"Dignity Health Sports Park, Carson, CA (USA)",Dignity Health Sports Park, Carson, CA ,USA,Dignity Health Sports Park
93,30/05/2021,01:00,Inter Miami CF,D.C. United,0.0,3.0,D.C. United,3.0,"DRV PNK Stadium, Fort Lauderdale, FL (USA)",DRV PNK Stadium, Fort Lauderdale, FL ,USA,Audi Field
94,30/05/2021,01:30,Sporting Kansas City,Houston Dynamo,3.0,2.0,Sporting Kansas City,3.0,"Children's Mercy Park, Kansas City, KS (USA)",Children's Mercy Park, Kansas City, KS ,USA,Children's Mercy Park
95,30/05/2021,02:00,Colorado Rapids,FC Dallas,3.0,0.0,Colorado Rapids,3.0,"Dick's Sporting Goods Park, Commerce City, CO (USA)",Dick's Sporting Goods Park, Commerce City, CO ,USA,Dick's Sporting Goods Park
96,30/05/2021,02:30,Real Salt Lake,Minnesota United FC,1.0,1.0,,,"Rio Tinto Stadium, Sandy, UT (USA)",Rio Tinto Stadium, Sandy, UT ,USA,
97,31/05/2021,00:00,Philadelphia Union,Portland Timbers,3.0,0.0,Philadelphia Union,3.0,"Subaru Park, Chester, PA (USA)",Subaru Park, Chester, PA ,USA,Subaru Park
98,31/05/2021,02:30,Seattle Sounders,Austin FC,0.0,0.0,,,"Lumen Field, Seattle, WA (USA)",Lumen Field, Seattle, WA ,USA,
99,3. Round,3. Round,3. Round,3. Round,,,,,,,,,,
100,12/06/2021,20:00,Sporting Kansas City,Austin FC,1.0,1.0,,,"Children's Mercy Park, Kansas City, KS (USA)",Children's Mercy Park, Kansas City, KS ,USA,
101,19/06/2021,01:00,New York RB,Nashville SC,2.0,0.0,New York RB,2.0,"Red Bull Arena, Harrison, NJ (USA)",Red Bull Arena, Harrison, NJ ,USA,Red Bull Arena
102,19/06/2021,03:00,Real Salt Lake,Vancouver Whitecaps,3.0,1.0,Real Salt Lake,3.0,"Rio Tinto Stadium, Sandy, UT (USA)",Rio Tinto Stadium, Sandy, UT ,USA,Rio Tinto Stadium
103,20/06/2021,00:30,Columbus Crew,Chicago Fire,2.0,0.0,Columbus Crew,2.0,"MAPFRE Stadium, Columbus, OH (USA)",MAPFRE Stadium, Columbus, OH ,USA,Lower.com Field
104,20/06/2021,00:30,FC Cincinnati,Colorado Rapids,0.0,2.0,Colorado Rapids,2.0,"TQL Stadium, Cincinnati, OH (USA)",TQL Stadium, Cincinnati, OH ,USA,Dick's Sporting Goods Park
105,20/06/2021,00:30,Toronto FC,Orlando City,2.0,3.0,Orlando City,3.0,"Exploria Stadium, Orlando, FL (USA)",Exploria Stadium, Orlando, FL ,USA,Exploria Stadium
106,20/06/2021,00:30,New York City FC,New England Revolution,2.0,3.0,New England Revolution,3.0,"Red Bull Arena, Harrison, NJ (USA)",Red Bull Arena, Harrison, NJ ,USA,Gillette Stadium
107,20/06/2021,01:00,D.C. United,Inter Miami CF,1.0,0.0,D.C. United,1.0,"Audi Field, Washington, D.C. (USA)",Audi Field, Washington, D.C. ,USA,Audi Field
108,20/06/2021,01:30,FC Dallas,Minnesota United FC,1.0,1.0,,,"Toyota Stadium, Frisco, TX (USA)",Toyota Stadium, Frisco, TX ,USA,
109,20/06/2021,02:00,Austin FC,San Jose Earthquakes,0.0,0.0,,,"Q2 Stadium, Austin, TX (USA)",Q2 Stadium, Austin, TX ,USA,
110,20/06/2021,02:00,Los Angeles Galaxy,Seattle Sounders,1.0,2.0,Seattle Sounders,2.0,"Dignity Health Sports Park, Carson, CA (USA)",Dignity Health Sports Park, Carson, CA ,USA,Lumen Field
111,20/06/2021,03:30,Portland Timbers,Sporting Kansas City,2.0,1.0,Portland Timbers,2.0,"Providence Park, Portland, OR (USA)",Providence Park, Portland, OR ,USA,Providence Park
112,20/06/2021,04:00,Los Angeles FC,Houston Dynamo,1.0,1.0,,,"Banc of California Stadium, Los Angeles, CA (USA)",Banc of California Stadium, Los Angeles, CA ,USA,
113,20/06/2021,19:00,Atlanta United FC,Philadelphia Union,2.0,2.0,,,"Mercedes-Benz Stadium, Atlanta, GA (USA)",Mercedes-Benz Stadium, Atlanta, GA ,USA,
114,23/06/2021,01:00,Orlando City,San Jose Earthquakes,5.0,0.0,Orlando City,5.0,"Exploria Stadium, Orlando, FL (USA)",Exploria Stadium, Orlando, FL ,USA,Exploria Stadium
115,24/06/2021,00:00,New England Revolution,New York RB,3.0,2.0,New England Revolution,3.0,"Gillette Stadium, Foxborough, MA (USA)",Gillette Stadium, Foxborough, MA ,USA,Gillette Stadium
116,24/06/2021,00:30,Philadelphia Union,Columbus Crew,1.0,0.0,Philadelphia Union,1.0,"Subaru Park, Chester, PA (USA)",Subaru Park, Chester, PA ,USA,Subaru Park
117,24/06/2021,00:30,New York City FC,Atlanta United FC,1.0,0.0,New York City FC,1.0,"Red Bull Arena, Harrison, NJ (USA)",Red Bull Arena, Harrison, NJ ,USA,Yankee Stadium
118,24/06/2021,01:00,Chicago Fire,FC Cincinnati,0.0,1.0,FC Cincinnati,1.0,"Soldier Field, Chicago, IL (USA)",Soldier Field, Chicago, IL ,USA,TQL Stadium
119,24/06/2021,01:00,CF Montréal,D.C. United,0.0,0.0,,,"DRV PNK Stadium, Fort Lauderdale, FL (USA)",DRV PNK Stadium, Fort Lauderdale, FL ,USA,
120,24/06/2021,01:00,Minnesota United FC,Austin FC,2.0,0.0,Minnesota United FC,2.0,"Allianz Field, Saint Paul, MN (USA)",Allianz Field, Saint Paul, MN ,USA,Allianz Field
121,24/06/2021,01:30,Houston Dynamo,Portland Timbers,2.0,2.0,,,"PNC Stadium, Houston, TX (USA)",PNC Stadium, Houston, TX ,USA,
122,24/06/2021,01:30,Nashville SC,Toronto FC,3.0,2.0,Nashville SC,3.0,"Nissan Stadium, Nashville, TN (USA)",Nissan Stadium, Nashville, TN ,USA,Fairgrounds Stadium
123,24/06/2021,01:30,Sporting Kansas City,Colorado Rapids,3.0,1.0,Sporting Kansas City,3.0,"Children's Mercy Park, Kansas City, KS (USA)",Children's Mercy Park, Kansas City, KS ,USA,Children's Mercy Park
124,24/06/2021,03:00,Seattle Sounders,Real Salt Lake,2.0,1.0,Seattle Sounders,2.0,"Lumen Field, Seattle, WA (USA)",Lumen Field, Seattle, WA ,USA,Lumen Field
125,24/06/2021,03:30,Los Angeles FC,FC Dallas,2.0,0.0,Los Angeles FC,2.0,"Banc of California Stadium, Los Angeles, CA (USA)",Banc of California Stadium, Los Angeles, CA ,USA,Banc of California Stadium
126,24/06/2021,03:30,Vancouver Whitecaps,Los Angeles Galaxy,1.0,2.0,Los Angeles Galaxy,2.0,"Rio Tinto Stadium, Sandy, UT (USA)",Rio Tinto Stadium, Sandy, UT ,USA,Dignity Health Sports Park
127,26/06/2021,01:00,Inter Miami CF,Orlando City,1.0,2.0,Orlando City,2.0,"DRV PNK Stadium, Fort Lauderdale, FL (USA)",DRV PNK Stadium, Fort Lauderdale, FL ,USA,Exploria Stadium
128,26/06/2021,22:30,Sporting Kansas City,Los Angeles FC,2.0,1.0,Sporting Kansas City,2.0,"Children's Mercy Park, Kansas City, KS (USA)",Children's Mercy Park, Kansas City, KS ,USA,Children's Mercy Park
129,27/06/2021,00:00,Toronto FC,FC Cincinnati,0.0,2.0,FC Cincinnati,2.0,"Exploria Stadium, Orlando, FL (USA)",Exploria Stadium, Orlando, FL ,USA,TQL Stadium
130,27/06/2021,01:00,Chicago Fire,Philadelphia Union,3.0,3.0,,,"Soldier Field, Chicago, IL (USA)",Soldier Field, Chicago, IL ,USA,
131,27/06/2021,01:00,Real Salt Lake,Houston Dynamo,1.0,1.0,,,"Rio Tinto Stadium, Sandy, UT (USA)",Rio Tinto Stadium, Sandy, UT ,USA,
132,27/06/2021,01:30,Nashville SC,CF Montréal,1.0,1.0,,,"Nissan Stadium, Nashville, TN (USA)",Nissan Stadium, Nashville, TN ,USA,
133,27/06/2021,02:00,Seattle Sounders,Vancouver Whitecaps,2.0,2.0,,,"Lumen Field, Seattle, WA (USA)",Lumen Field, Seattle, WA ,USA,
134,27/06/2021,03:00,San Jose Earthquakes,Los Angeles Galaxy,1.0,3.0,Los Angeles Galaxy,3.0,"Earthquakes Stadium, San Jose, CA (USA)",Earthquakes Stadium, San Jose, CA ,USA,Dignity Health Sports Park
135,27/06/2021,04:30,Portland Timbers,Minnesota United FC,0.0,1.0,Minnesota United FC,1.0,"Providence Park, Portland, OR (USA)",Providence Park, Portland, OR ,USA,Allianz Field
136,27/06/2021,20:30,Atlanta United FC,New York RB,0.0,0.0,,,"Mercedes-Benz Stadium, Atlanta, GA (USA)",Mercedes-Benz Stadium, Atlanta, GA ,USA,
137,27/06/2021,23:00,New York City FC,D.C. United,2.0,1.0,New York City FC,2.0,"Red Bull Arena, Harrison, NJ (USA)",Red Bull Arena, Harrison, NJ ,USA,Yankee Stadium
138,28/06/2021,01:00,Austin FC,Columbus Crew,0.0,0.0,,,"Q2 Stadium, Austin, TX (USA)",Q2 Stadium, Austin, TX ,USA,
139,28/06/2021,02:00,FC Dallas,New England Revolution,2.0,1.0,FC Dallas,2.0,"Toyota Stadium, Frisco, TX (USA)",Toyota Stadium, Frisco, TX ,USA,Toyota Stadium
140,4. Round,4. Round,4. Round,4. Round,,,,,,,,,,
