,date,time,teamA,teamB,teamA_score,teamB_score,winner_Team,winner_score,venue_location,venue,venue_city,venue_state,venue_country,winner_location
110,20/09/2020,00:00,Atlanta United FC,Inter Miami CF,1.0,2.0,Inter Miami CF,2.0,"Mercedes-Benz Stadium, Atlanta, GA (USA)",Mercedes-Benz Stadium, Atlanta, GA ,USA,DRV PNK Stadium
111,20/09/2020,00:00,New York RB,FC Cincinnati,0.0,1.0,FC Cincinnati,1.0,"Red Bull Arena, Harrison, NJ (USA)",Red Bull Arena, Harrison, NJ ,USA,TQL Stadium
112,20/09/2020,00:30,Orlando City,Chicago Fire,4.0,1.0,Orlando City,4.0,"Exploria Stadium, Orlando, FL (USA)",Exploria Stadium, Orlando, FL ,USA,Exploria Stadium
113,20/09/2020,00:30,Columbus Crew,Nashville SC,2.0,0.0,Columbus Crew,2.0,"MAPFRE Stadium, Columbus, OH (USA)",MAPFRE Stadium, Columbus, OH ,USA,Lower.com Field
114,20/09/2020,00:30,D.C. United,Toronto FC,2.0,2.0,,,"Audi Field, Washington, D.C. (USA)",Audi Field, Washington, D.C. ,USA,
115,20/09/2020,01:00,Houston Dynamo,Minnesota United FC,2.0,2.0,,,"PNC Stadium, Houston, TX (USA)",PNC Stadium, Houston, TX ,USA,
116,20/09/2020,02:30,Real Salt Lake,Vancouver Whitecaps,1.0,2.0,Vancouver Whitecaps,2.0,"Rio Tinto Stadium, Sandy, UT (USA)",Rio Tinto Stadium, Sandy, UT ,USA,BC Place
117,20/09/2020,03:30,San Jose Earthquakes,Portland Timbers,1.0,6.0,Portland Timbers,6.0,"Earthquakes Stadium, San Jose, CA (USA)",Earthquakes Stadium, San Jose, CA ,USA,Providence Park
118,20/09/2020,03:30,Los Angeles Galaxy,Colorado Rapids,0.0,2.0,Colorado Rapids,2.0,"Dignity Health Sports Park, Carson, CA (USA)",Dignity Health Sports Park, Carson, CA ,USA,Dick's Sporting Goods Park
119,21/09/2020,00:00,Impact de Montréal,Philadelphia Union,1.0,4.0,Philadelphia Union,4.0,"Red Bull Arena, Harrison, NJ (USA)",Red Bull Arena, Harrison, NJ ,USA,Subaru Park
120,23/09/2020,22:00,New England Revolution,Impact de Montréal,3.0,1.0,New England Revolution,3.0,"Gillette Stadium, Foxborough, MA (USA)",Gillette Stadium, Foxborough, MA ,USA,Gillette Stadium
121,24/09/2020,00:00,New York City FC,Toronto FC,0.0,1.0,Toronto FC,1.0,"Red Bull Arena, Harrison, NJ (USA)",Red Bull Arena, Harrison, NJ ,USA,BMO Field
122,24/09/2020,00:00,Atlanta United FC,FC Dallas,1.0,0.0,Atlanta United FC,1.0,"Mercedes-Benz Stadium, Atlanta, GA (USA)",Mercedes-Benz Stadium, Atlanta, GA ,USA,Mercedes-Benz Stadium
123,24/09/2020,00:30,Chicago Fire,Houston Dynamo,4.0,0.0,Chicago Fire,4.0,"Soldier Field, Chicago, IL (USA)",Soldier Field, Chicago, IL ,USA,Soldier Field
124,24/09/2020,00:30,FC Cincinnati,Philadelphia Union,0.0,0.0,,,"Nippert Stadium, Cincinnati, OH (USA)",Nippert Stadium, Cincinnati, OH ,USA,
125,24/09/2020,00:30,Columbus Crew,Minnesota United FC,2.0,1.0,Columbus Crew,2.0,"MAPFRE Stadium, Columbus, OH (USA)",MAPFRE Stadium, Columbus, OH ,USA,Lower.com Field
126,24/09/2020,00:30,Sporting Kansas City,Orlando City,1.0,2.0,Orlando City,2.0,"Children's Mercy Park, Kansas City, KS (USA)",Children's Mercy Park, Kansas City, KS ,USA,Exploria Stadium
127,24/09/2020,01:00,Inter Miami CF,New York RB,1.0,4.0,New York RB,4.0,"DRV PNK Stadium, Fort Lauderdale, FL (USA)",DRV PNK Stadium, Fort Lauderdale, FL ,USA,Red Bull Arena
128,24/09/2020,01:30,Nashville SC,D.C. United,1.0,0.0,Nashville SC,1.0,"Nissan Stadium, Nashville, TN (USA)",Nissan Stadium, Nashville, TN ,USA,Fairgrounds Stadium
129,24/09/2020,02:00,Colorado Rapids,San Jose Earthquakes,5.0,0.0,Colorado Rapids,5.0,"Dick's Sporting Goods Park, Commerce City, CO (USA)",Dick's Sporting Goods Park, Commerce City, CO ,USA,Dick's Sporting Goods Park
130,24/09/2020,02:30,Real Salt Lake,Los Angeles Galaxy,2.0,0.0,Real Salt Lake,2.0,"Rio Tinto Stadium, Sandy, UT (USA)",Rio Tinto Stadium, Sandy, UT ,USA,Rio Tinto Stadium
131,24/09/2020,03:00,Portland Timbers,Seattle Sounders,1.0,0.0,Portland Timbers,1.0,"Providence Park, Portland, OR (USA)",Providence Park, Portland, OR ,USA,Providence Park
132,24/09/2020,03:30,Los Angeles FC,Vancouver Whitecaps,6.0,0.0,Los Angeles FC,6.0,"Banc of California Stadium, Los Angeles, CA (USA)",Banc of California Stadium, Los Angeles, CA ,USA,Banc of California Stadium
133,26/09/2020,20:30,Nashville SC,Houston Dynamo,1.0,1.0,,,"Nissan Stadium, Nashville, TN (USA)",Nissan Stadium, Nashville, TN ,USA,
134,27/09/2020,00:00,New York City FC,FC Cincinnati,4.0,0.0,New York City FC,4.0,"Red Bull Arena, Harrison, NJ (USA)",Red Bull Arena, Harrison, NJ ,USA,Yankee Stadium
135,28/09/2020,00:00,D.C. United,New England Revolution,0.0,2.0,New England Revolution,2.0,"Audi Field, Washington, D.C. (USA)",Audi Field, Washington, D.C. ,USA,Gillette Stadium
136,28/09/2020,00:00,New York RB,Impact de Montréal,4.0,1.0,New York RB,4.0,"Red Bull Arena, Harrison, NJ (USA)",Red Bull Arena, Harrison, NJ ,USA,Red Bull Arena
137,28/09/2020,00:30,Philadelphia Union,Inter Miami CF,3.0,0.0,Philadelphia Union,3.0,"Subaru Park, Chester, PA (USA)",Subaru Park, Chester, PA ,USA,Subaru Park
138,28/09/2020,00:30,Chicago Fire,Atlanta United FC,2.0,0.0,Chicago Fire,2.0,"Soldier Field, Chicago, IL (USA)",Soldier Field, Chicago, IL ,USA,Soldier Field
139,28/09/2020,00:30,Toronto FC,Columbus Crew,3.0,1.0,Toronto FC,3.0,"Rentschler Field, East Hartford, CT (USA)",Rentschler Field, East Hartford, CT ,USA,BMO Field
140,28/09/2020,01:00,Minnesota United FC,Real Salt Lake,0.0,0.0,,,"Allianz Field, Saint Paul, MN (USA)",Allianz Field, Saint Paul, MN ,USA,
141,28/09/2020,01:30,FC Dallas,Orlando City,0.0,0.0,,,"Toyota Stadium, Frisco, TX (USA)",Toyota Stadium, Frisco, TX ,USA,
142,28/09/2020,03:00,Vancouver Whitecaps,Portland Timbers,0.0,1.0,Portland Timbers,1.0,"Providence Park, Portland, OR (USA)",Providence Park, Portland, OR ,USA,Providence Park
143,28/09/2020,03:30,Los Angeles Galaxy,Seattle Sounders,1.0,3.0,Seattle Sounders,3.0,"Dignity Health Sports Park, Carson, CA (USA)",Dignity Health Sports Park, Carson, CA ,USA,Lumen Field
144,28/09/2020,03:30,Los Angeles FC,San Jose Earthquakes,1.0,2.0,San Jose Earthquakes,2.0,"Banc of California Stadium, Los Angeles, CA (USA)",Banc of California Stadium, Los Angeles, CA ,USA,Earthquakes Stadium
145,5. Round,5. Round,5. Round,5. Round,,,,,,,,,,
146,03/10/2020,21:30,Orlando City,New York RB,3.0,1.0,Orlando City,3.0,"Exploria Stadium, Orlando, FL (USA)",Exploria Stadium, Orlando, FL ,USA,Exploria Stadium
147,04/10/2020,00:00,D.C. United,Atlanta United FC,0.0,4.0,Atlanta United FC,4.0,"Audi Field, Washington, D.C. (USA)",Audi Field, Washington, D.C. ,USA,Mercedes-Benz Stadium
148,04/10/2020,00:30,Impact de Montréal,Chicago Fire,2.0,2.0,,,"Red Bull Arena, Harrison, NJ (USA)",Red Bull Arena, Harrison, NJ ,USA,
149,04/10/2020,00:30,New England Revolution,Nashville SC,0.0,0.0,,,"Gillette Stadium, Foxborough, MA (USA)",Gillette Stadium, Foxborough, MA ,USA,
150,04/10/2020,00:30,Toronto FC,Philadelphia Union,2.0,1.0,Toronto FC,2.0,"Rentschler Field, East Hartford, CT (USA)",Rentschler Field, East Hartford, CT ,USA,BMO Field
151,04/10/2020,01:00,Houston Dynamo,Sporting Kansas City,1.0,2.0,Sporting Kansas City,2.0,"PNC Stadium, Houston, TX (USA)",PNC Stadium, Houston, TX ,USA,Children's Mercy Park
152,04/10/2020,01:00,Inter Miami CF,New York City FC,2.0,3.0,New York City FC,3.0,"DRV PNK Stadium, Fort Lauderdale, FL (USA)",DRV PNK Stadium, Fort Lauderdale, FL ,USA,Yankee Stadium
153,04/10/2020,01:00,Minnesota United FC,FC Cincinnati,2.0,0.0,Minnesota United FC,2.0,"Allianz Field, Saint Paul, MN (USA)",Allianz Field, Saint Paul, MN ,USA,Allianz Field
154,04/10/2020,01:30,FC Dallas,Columbus Crew,2.0,2.0,,,"Toyota Stadium, Frisco, TX (USA)",Toyota Stadium, Frisco, TX ,USA,
155,04/10/2020,03:00,Seattle Sounders,Vancouver Whitecaps,3.0,1.0,Seattle Sounders,3.0,"Lumen Field, Seattle, WA (USA)",Lumen Field, Seattle, WA ,USA,Lumen Field
156,04/10/2020,03:30,San Jose Earthquakes,Los Angeles Galaxy,2.0,1.0,San Jose Earthquakes,2.0,"Earthquakes Stadium, San Jose, CA (USA)",Earthquakes Stadium, San Jose, CA ,USA,Earthquakes Stadium
157,05/10/2020,02:30,Real Salt Lake,Los Angeles FC,1.0,3.0,Los Angeles FC,3.0,"Rio Tinto Stadium, Sandy, UT (USA)",Rio Tinto Stadium, Sandy, UT ,USA,Banc of California Stadium
158,07/10/2020,01:30,Nashville SC,Minnesota United FC,0.0,0.0,,,"Nissan Stadium, Nashville, TN (USA)",Nissan Stadium, Nashville, TN ,USA,
159,08/10/2020,,Colorado Rapids,Los Angeles FC,,,,,,,,,,
160,08/10/2020,00:00,Atlanta United FC,Orlando City,0.0,0.0,,,"Mercedes-Benz Stadium, Atlanta, GA (USA)",Mercedes-Benz Stadium, Atlanta, GA ,USA,
161,08/10/2020,00:00,New York RB,Inter Miami CF,1.0,2.0,Inter Miami CF,2.0,"Red Bull Arena, Harrison, NJ (USA)",Red Bull Arena, Harrison, NJ ,USA,DRV PNK Stadium
162,08/10/2020,00:30,New England Revolution,Toronto FC,0.0,1.0,Toronto FC,1.0,"Gillette Stadium, Foxborough, MA (USA)",Gillette Stadium, Foxborough, MA ,USA,BMO Field
163,08/10/2020,00:30,Philadelphia Union,FC Cincinnati,3.0,0.0,Philadelphia Union,3.0,"Subaru Park, Chester, PA (USA)",Subaru Park, Chester, PA ,USA,Subaru Park
164,08/10/2020,00:30,Columbus Crew,Impact de Montréal,1.0,2.0,Impact de Montréal,2.0,"MAPFRE Stadium, Columbus, OH (USA)",MAPFRE Stadium, Columbus, OH ,USA,Stade Saputo
165,08/10/2020,01:00,New York City FC,D.C. United,4.0,1.0,New York City FC,4.0,"Yankee Stadium, New York City, NY (USA)",Yankee Stadium, New York City, NY ,USA,Yankee Stadium
166,08/10/2020,01:00,Houston Dynamo,FC Dallas,2.0,0.0,Houston Dynamo,2.0,"PNC Stadium, Houston, TX (USA)",PNC Stadium, Houston, TX ,USA,PNC Stadium
167,08/10/2020,01:30,Sporting Kansas City,Chicago Fire,1.0,0.0,Sporting Kansas City,1.0,"Children's Mercy Park, Kansas City, KS (USA)",Children's Mercy Park, Kansas City, KS ,USA,Children's Mercy Park
168,08/10/2020,03:00,Seattle Sounders,Real Salt Lake,2.0,1.0,Seattle Sounders,2.0,"Lumen Field, Seattle, WA (USA)",Lumen Field, Seattle, WA ,USA,Lumen Field
169,08/10/2020,03:30,Los Angeles Galaxy,Portland Timbers,3.0,6.0,Portland Timbers,6.0,"Dignity Health Sports Park, Carson, CA (USA)",Dignity Health Sports Park, Carson, CA ,USA,Providence Park
170,08/10/2020,03:30,San Jose Earthquakes,Vancouver Whitecaps,3.0,0.0,San Jose Earthquakes,3.0,"Earthquakes Stadium, San Jose, CA (USA)",Earthquakes Stadium, San Jose, CA ,USA,Earthquakes Stadium
171,10/10/2020,,Columbus Crew,Los Angeles FC,,,,,,,,,,
172,10/10/2020,22:00,Inter Miami CF,Houston Dynamo,1.0,0.0,Inter Miami CF,1.0,"DRV PNK Stadium, Fort Lauderdale, FL (USA)",DRV PNK Stadium, Fort Lauderdale, FL ,USA,DRV PNK Stadium
173,11/10/2020,,Colorado Rapids,Los Angeles Galaxy,,,,,,,,,,
