,date,time,teamA,teamB,teamA_score,teamB_score,winner_Team,winner_score,venue_location,venue,venue_city,venue_state,venue_country,winner_location
0,02/03/2019,18:00,Philadelphia Union,Toronto FC,1.0,3.0,Toronto FC,3.0,"Subaru Park, Chester, PA (USA)",Subaru Park, Chester, PA ,USA,BMO Field
1,02/03/2019,19:30,Orlando City,New York City FC,2.0,2.0,,,"Exploria Stadium, Orlando, FL (USA)",Exploria Stadium, Orlando, FL ,USA,
2,02/03/2019,21:30,Columbus Crew,New York RB,1.0,1.0,,,"MAPFRE Stadium, Columbus, OH (USA)",MAPFRE Stadium, Columbus, OH ,USA,
3,02/03/2019,21:30,FC Dallas,New England Revolution,1.0,1.0,,,"Toyota Stadium, Frisco, TX (USA)",Toyota Stadium, Frisco, TX ,USA,
4,02/03/2019,23:00,Colorado Rapids,Portland Timbers,3.0,3.0,,,"Dick's Sporting Goods Park, Commerce City, CO (USA)",Dick's Sporting Goods Park, Commerce City, CO ,USA,
5,02/03/2019,23:00,Houston Dynamo,Real Salt Lake,1.0,1.0,,,"PNC Stadium, Houston, TX (USA)",PNC Stadium, Houston, TX ,USA,
6,02/03/2019,23:00,Vancouver Whitecaps,Minnesota United FC,2.0,3.0,Minnesota United FC,3.0,"BC Place, Vancouver, BC (Canada)",BC Place, Vancouver, BC ,Canada,Allianz Field
7,03/03/2019,01:00,Los Angeles Galaxy,Chicago Fire,2.0,1.0,Los Angeles Galaxy,2.0,"Dignity Health Sports Park, Carson, CA (USA)",Dignity Health Sports Park, Carson, CA ,USA,Dignity Health Sports Park
8,03/03/2019,03:00,San Jose Earthquakes,Impact de Montréal,1.0,2.0,Impact de Montréal,2.0,"Earthquakes Stadium, San Jose, CA (USA)",Earthquakes Stadium, San Jose, CA ,USA,Stade Saputo
9,03/03/2019,03:00,Seattle Sounders,FC Cincinnati,4.0,1.0,Seattle Sounders,4.0,"Lumen Field, Seattle, WA (USA)",Lumen Field, Seattle, WA ,USA,Lumen Field
10,03/03/2019,23:00,D.C. United,Atlanta United FC,2.0,0.0,D.C. United,2.0,"Audi Field, Washington, D.C. (USA)",Audi Field, Washington, D.C. ,USA,Audi Field
11,04/03/2019,01:30,Los Angeles FC,Sporting Kansas City,2.0,1.0,Los Angeles FC,2.0,"Banc of California Stadium, Los Angeles, CA (USA)",Banc of California Stadium, Los Angeles, CA ,USA,Banc of California Stadium
12,09/03/2019,18:00,Chicago Fire,Orlando City,1.0,1.0,,,"SeatGeek Stadium, Bridgeview, IL (USA)",SeatGeek Stadium, Bridgeview, IL ,USA,
13,09/03/2019,19:00,New England Revolution,Columbus Crew,0.0,2.0,Columbus Crew,2.0,"Gillette Stadium, Foxborough, MA (USA)",Gillette Stadium, Foxborough, MA ,USA,Lower.com Field
14,09/03/2019,20:30,FC Dallas,Los Angeles Galaxy,2.0,0.0,FC Dallas,2.0,"Toyota Stadium, Frisco, TX (USA)",Toyota Stadium, Frisco, TX ,USA,Toyota Stadium
15,09/03/2019,22:00,Houston Dynamo,Impact de Montréal,2.0,1.0,Houston Dynamo,2.0,"PNC Stadium, Houston, TX (USA)",PNC Stadium, Houston, TX ,USA,PNC Stadium
16,09/03/2019,23:00,Real Salt Lake,Vancouver Whitecaps,1.0,0.0,Real Salt Lake,1.0,"Rio Tinto Stadium, Sandy, UT (USA)",Rio Tinto Stadium, Sandy, UT ,USA,Rio Tinto Stadium
17,10/03/2019,01:00,San Jose Earthquakes,Minnesota United FC,0.0,3.0,Minnesota United FC,3.0,"Earthquakes Stadium, San Jose, CA (USA)",Earthquakes Stadium, San Jose, CA ,USA,Allianz Field
18,10/03/2019,03:00,Seattle Sounders,Colorado Rapids,2.0,0.0,Seattle Sounders,2.0,"Lumen Field, Seattle, WA (USA)",Lumen Field, Seattle, WA ,USA,Lumen Field
19,10/03/2019,19:00,New York City FC,D.C. United,0.0,0.0,,,"Yankee Stadium, New York City, NY (USA)",Yankee Stadium, New York City, NY ,USA,
20,10/03/2019,19:00,Sporting Kansas City,Philadelphia Union,2.0,0.0,Sporting Kansas City,2.0,"Children's Mercy Park, Kansas City, KS (USA)",Children's Mercy Park, Kansas City, KS ,USA,Children's Mercy Park
21,10/03/2019,21:00,Atlanta United FC,FC Cincinnati,1.0,1.0,,,"Mercedes-Benz Stadium, Atlanta, GA (USA)",Mercedes-Benz Stadium, Atlanta, GA ,USA,
22,10/03/2019,23:30,Los Angeles FC,Portland Timbers,4.0,1.0,Los Angeles FC,4.0,"Banc of California Stadium, Los Angeles, CA (USA)",Banc of California Stadium, Los Angeles, CA ,USA,Banc of California Stadium
23,16/03/2019,17:00,Chicago Fire,Seattle Sounders,2.0,4.0,Seattle Sounders,4.0,"SeatGeek Stadium, Bridgeview, IL (USA)",SeatGeek Stadium, Bridgeview, IL ,USA,Lumen Field
24,16/03/2019,18:00,Columbus Crew,FC Dallas,1.0,0.0,Columbus Crew,1.0,"MAPFRE Stadium, Columbus, OH (USA)",MAPFRE Stadium, Columbus, OH ,USA,Lower.com Field
25,16/03/2019,19:00,Houston Dynamo,Vancouver Whitecaps,3.0,2.0,Houston Dynamo,3.0,"PNC Stadium, Houston, TX (USA)",PNC Stadium, Houston, TX ,USA,PNC Stadium
26,16/03/2019,19:30,New York RB,San Jose Earthquakes,4.0,1.0,New York RB,4.0,"Red Bull Arena, Harrison, NJ (USA)",Red Bull Arena, Harrison, NJ ,USA,Red Bull Arena
27,16/03/2019,20:00,Orlando City,Impact de Montréal,1.0,3.0,Impact de Montréal,3.0,"Exploria Stadium, Orlando, FL (USA)",Exploria Stadium, Orlando, FL ,USA,Stade Saputo
28,17/03/2019,00:00,D.C. United,Real Salt Lake,5.0,0.0,D.C. United,5.0,"Audi Field, Washington, D.C. (USA)",Audi Field, Washington, D.C. ,USA,Audi Field
29,17/03/2019,02:30,Los Angeles Galaxy,Minnesota United FC,3.0,2.0,Los Angeles Galaxy,3.0,"Dignity Health Sports Park, Carson, CA (USA)",Dignity Health Sports Park, Carson, CA ,USA,Dignity Health Sports Park
30,17/03/2019,19:00,New York City FC,Los Angeles FC,2.0,2.0,,,"Yankee Stadium, New York City, NY (USA)",Yankee Stadium, New York City, NY ,USA,
31,17/03/2019,21:00,FC Cincinnati,Portland Timbers,3.0,0.0,FC Cincinnati,3.0,"Nippert Stadium, Cincinnati, OH (USA)",Nippert Stadium, Cincinnati, OH ,USA,TQL Stadium
32,17/03/2019,23:00,Atlanta United FC,Philadelphia Union,1.0,1.0,,,"Mercedes-Benz Stadium, Atlanta, GA (USA)",Mercedes-Benz Stadium, Atlanta, GA ,USA,
33,17/03/2019,23:30,Toronto FC,New England Revolution,3.0,2.0,Toronto FC,3.0,"BMO Field, Toronto, ON (Canada)",BMO Field, Toronto, ON ,Canada,BMO Field
34,18/03/2019,01:00,Colorado Rapids,Sporting Kansas City,1.0,1.0,,,"Dick's Sporting Goods Park, Commerce City, CO (USA)",Dick's Sporting Goods Park, Commerce City, CO ,USA,
35,23/03/2019,21:55,FC Dallas,Colorado Rapids,2.0,1.0,FC Dallas,2.0,"Toyota Stadium, Frisco, TX (USA)",Toyota Stadium, Frisco, TX ,USA,Toyota Stadium
36,23/03/2019,23:30,Philadelphia Union,Columbus Crew,3.0,0.0,Philadelphia Union,3.0,"Subaru Park, Chester, PA (USA)",Subaru Park, Chester, PA ,USA,Subaru Park
37,23/03/2019,23:30,New York RB,Orlando City,0.0,1.0,Orlando City,1.0,"Red Bull Arena, Harrison, NJ (USA)",Red Bull Arena, Harrison, NJ ,USA,Exploria Stadium
38,24/03/2019,02:30,Los Angeles FC,Real Salt Lake,2.0,1.0,Los Angeles FC,2.0,"Banc of California Stadium, Los Angeles, CA (USA)",Banc of California Stadium, Los Angeles, CA ,USA,Banc of California Stadium
39,24/03/2019,20:00,New England Revolution,FC Cincinnati,0.0,2.0,FC Cincinnati,2.0,"Gillette Stadium, Foxborough, MA (USA)",Gillette Stadium, Foxborough, MA ,USA,TQL Stadium
40,30/03/2019,00:00,Toronto FC,New York City FC,4.0,0.0,Toronto FC,4.0,"BMO Field, Toronto, ON (Canada)",BMO Field, Toronto, ON ,Canada,BMO Field
41,30/03/2019,17:00,Chicago Fire,New York RB,1.0,0.0,Chicago Fire,1.0,"SeatGeek Stadium, Bridgeview, IL (USA)",SeatGeek Stadium, Bridgeview, IL ,USA,Soldier Field
42,30/03/2019,18:00,New England Revolution,Minnesota United FC,2.0,1.0,New England Revolution,2.0,"Gillette Stadium, Foxborough, MA (USA)",Gillette Stadium, Foxborough, MA ,USA,Gillette Stadium
43,30/03/2019,19:00,Sporting Kansas City,Impact de Montréal,7.0,1.0,Sporting Kansas City,7.0,"Children's Mercy Park, Kansas City, KS (USA)",Children's Mercy Park, Kansas City, KS ,USA,Children's Mercy Park
44,30/03/2019,19:30,San Jose Earthquakes,Los Angeles FC,0.0,5.0,Los Angeles FC,5.0,"Earthquakes Stadium, San Jose, CA (USA)",Earthquakes Stadium, San Jose, CA ,USA,Banc of California Stadium
45,30/03/2019,23:30,FC Cincinnati,Philadelphia Union,0.0,2.0,Philadelphia Union,2.0,"Nippert Stadium, Cincinnati, OH (USA)",Nippert Stadium, Cincinnati, OH ,USA,Subaru Park
