,date,time,teamA,teamB,teamA_score,teamB_score,winner_Team,winner_score,venue_location,venue,venue_city,venue_state,venue_country,winner_location
0,19/10/2019,18:00,Atlanta United FC,New England Revolution,1.0,0.0,Atlanta United FC,1.0,"Mercedes-Benz Stadium, Atlanta, GA (USA)",Mercedes-Benz Stadium, Atlanta, GA ,USA,Mercedes-Benz Stadium
1,19/10/2019,20:30,Seattle Sounders,FC Dallas,4.0,3.0,Seattle Sounders,4.0,"Lumen Field, Seattle, WA (USA)",Lumen Field, Seattle, WA ,USA,Lumen Field
2,19/10/2019,23:00,Toronto FC,D.C. United,5.0,1.0,Toronto FC,5.0,"BMO Field, Toronto, ON (Canada)",BMO Field, Toronto, ON ,Canada,BMO Field
3,20/10/2019,03:00,Real Salt Lake,Portland Timbers,2.0,1.0,Real Salt Lake,2.0,"Rio Tinto Stadium, Sandy, UT (USA)",Rio Tinto Stadium, Sandy, UT ,USA,Rio Tinto Stadium
4,20/10/2019,20:00,Philadelphia Union,New York RB,4.0,3.0,Philadelphia Union,4.0,"Subaru Park, Chester, PA (USA)",Subaru Park, Chester, PA ,USA,Subaru Park
5,21/10/2019,01:30,Minnesota United FC,Los Angeles Galaxy,1.0,2.0,Los Angeles Galaxy,2.0,"Allianz Field, Saint Paul, MN (USA)",Allianz Field, Saint Paul, MN ,USA,Dignity Health Sports Park
6,Quarter-finals,Quarter-finals,Quarter-finals,Quarter-finals,,,,,,,,,,
7,24/10/2019,00:00,New York City FC,Toronto FC,1.0,2.0,Toronto FC,2.0,"Citi Field, New York City, NY (USA)",Citi Field, New York City, NY ,USA,BMO Field
8,24/10/2019,03:00,Seattle Sounders,Real Salt Lake,2.0,0.0,Seattle Sounders,2.0,"Lumen Field, Seattle, WA (USA)",Lumen Field, Seattle, WA ,USA,Lumen Field
9,25/10/2019,01:00,Atlanta United FC,Philadelphia Union,2.0,0.0,Atlanta United FC,2.0,"Mercedes-Benz Stadium, Atlanta, GA (USA)",Mercedes-Benz Stadium, Atlanta, GA ,USA,Mercedes-Benz Stadium
10,25/10/2019,03:30,Los Angeles FC,Los Angeles Galaxy,5.0,3.0,Los Angeles FC,5.0,"Banc of California Stadium, Los Angeles, CA (USA)",Banc of California Stadium, Los Angeles, CA ,USA,Banc of California Stadium
11,Semi-finals,Semi-finals,Semi-finals,Semi-finals,,,,,,,,,,
12,30/10/2019,02:00,Los Angeles FC,Seattle Sounders,1.0,3.0,Seattle Sounders,3.0,"Banc of California Stadium, Los Angeles, CA (USA)",Banc of California Stadium, Los Angeles, CA ,USA,Lumen Field
13,31/10/2019,00:00,Atlanta United FC,Toronto FC,1.0,2.0,Toronto FC,2.0,"Mercedes-Benz Stadium, Atlanta, GA (USA)",Mercedes-Benz Stadium, Atlanta, GA ,USA,BMO Field
14,Final,Final,Final,Final,,,,,,,,,,
15,10/11/2019,20:00,Seattle Sounders,Toronto FC,3.0,1.0,Seattle Sounders,3.0,"Lumen Field, Seattle, WA (USA)",Lumen Field, Seattle, WA ,USA,Lumen Field
